"","C3","C4","C7.1","C7.2","C9.1","C9.2","C10","C11.1","C11.2","P2","P11","P7","P4","P8","P10","P9","Control","Mutant"
"DMR_up_ 1",0.189253909730166,0.190634693097461,0.205671995164795,0.187841369011137,0.199086848443453,0.195059585617219,0.215807416526394,0.212881986282852,0.211571935775922,0.764988484805464,0.836178559324573,0.604613245310615,0.651086574876875,0.522812525418838,0.638090207833366,0.601740749635362,0.200867748849933,0.659930049600728
"DMR_up_ 10",0.225486233544273,0.211940050465858,0.192038757845007,0.178948419905391,0.186204749779518,0.167107297572253,0.177727503260027,0.185763477337996,0.184852859141055,0.788224628684399,0.795938275165762,0.676683891731944,0.737312026145381,0.543039712663286,0.724039160670623,0.713066035007781,0.190007705427931,0.71118624715274
"DMR_up_ 100",0.0855020317259724,0.0909901976254388,0.10319151274762,0.0920345450291214,0.11721723948772,0.0981082620301688,0.119296369092723,0.096562893404761,0.109503748455513,0.698709297874245,0.827099772582907,0.467892637993018,0.617559370235976,0.354177849427068,0.567381454424438,0.584093790598923,0.101378533288782,0.588130596162368
"DMR_up_ 1000",0.154500404856422,0.093259709705551,0.10128728855775,0.100514943303106,0.120143455694408,0.0901336957004599,0.102169093263502,0.119174223193672,0.0879482557429061,0.428574873722043,0.604600017483301,0.331708645622667,0.357898956750677,0.270506833515887,0.360461031280046,0.363725325112416,0.107681230001975,0.38821081192672
"DMR_up_ 1001",0.0942945510486352,0.0815787747332215,0.163665626774687,0.131840069604354,0.0963562125382235,0.12515608352648,0.162438594437229,0.135101000213523,0.115440671479421,0.485009668418392,0.528339649932397,0.374559499953357,0.431470041813018,0.331425834743216,0.39161096357996,0.355478030542968,0.122874620483975,0.413984812711901
"DMR_up_ 1002",0.0436638905146848,0.0537551556875806,0.0642505836020678,0.0651834913215706,0.0663501554079757,0.0623454901216316,0.0788006586567144,0.0613860274563227,0.070328192336288,0.422423898195796,0.599727910838597,0.277225024869183,0.303489427839418,0.175020179827883,0.322762709697189,0.311709750837338,0.062895960567204,0.344622700300772
"DMR_up_ 1003",0.371556633002809,0.424997321440126,0.457973029807421,0.35988346154321,0.350541843633021,0.439509488006928,0.487420973067529,0.48144407520605,0.372417612826495,0.74719365029396,0.809527497565934,0.618723680557157,0.695200293125475,0.564590582454714,0.66294234483717,0.649524256766715,0.416193826503732,0.678243186514446
"DMR_up_ 1004",0.0964104094363427,0.0812083299814698,0.127148749031628,0.110048419201261,0.145560207214481,0.127392125763526,0.11369738734347,0.122528870982916,0.104156494278969,0.431679310420936,0.569253192892771,0.338644512770394,0.399244643996265,0.289093779956503,0.37405835949687,0.384854277971481,0.114238999248229,0.39811829678646
"DMR_up_ 1005",0.15597977799978,0.142275932991753,0.154442851112879,0.135902797958853,0.171079909668702,0.154921339709761,0.154122442953514,0.162423088837911,0.150663193195412,0.565315137889382,0.617359515303129,0.377884954171826,0.428206576252711,0.320524706790318,0.397211414476829,0.376640417047605,0.153534592714285,0.440448960275971
"DMR_up_ 1006",0.18154711141745,0.220773516437866,0.214231684005281,0.211889554116181,0.178518860793322,0.172354963446934,0.260529283233715,0.209096366098724,0.200698569929874,0.582494627924977,0.627339369916602,0.435087157925275,0.483984971269912,0.394305298604643,0.475855888928114,0.419150675238834,0.205515545497705,0.488316855686908
