"","C3","C4","C7.1","C7.2","C9.1","C9.2","C10","C11.1","C11.2","P2","P10","P4","P8","P7","P9","P11","Control","Mutant"
"DMR_up_ 1",-0.0116138391197675,-0.0102330557524725,0.00480424631486168,-0.013026379838796,-0.0017809004064798,-0.0058081632327141,0.014939667676461,0.0120142374329185,0.0107041869259889,0.564120735955531,0.437222458983433,0.450218826026942,0.321944776568905,0.403745496460682,0.400873000785429,0.63531081047464,9.25185853854297e-18,0.459062300750795
"DMR_up_ 10",0.0354785281163426,0.0219323450379267,0.00203105241707613,-0.0110592855225397,-0.0038029556484131,-0.0229004078556778,-0.0122802021679038,-0.00424422808993488,-0.00515484628687624,0.598216923256468,0.534031455242693,0.547304320717451,0.353032007235355,0.486676186304014,0.523058329579851,0.605930569737831,-9.25185853854297e-18,0.521178541724809
"DMR_up_ 100",-0.0158765015628096,-0.0103883356633432,0.00181297945883838,-0.00934398825966065,0.0158387061989384,-0.00327027125861321,0.0179178358039405,-0.00481563988402105,0.00812521516673045,0.597330764585463,0.466002921135656,0.516180836947194,0.252799316138286,0.366514104704236,0.482715257310141,0.725721239294125,-3.08395284618099e-18,0.486752062873586
"DMR_up_ 1000",0.0468191748544468,-0.0144215202964243,-0.00639394144422509,-0.00716628669886951,0.0124622256924332,-0.0175475343015154,-0.00551213673847364,0.011492993191697,-0.0197329742590691,0.320893643720068,0.25277980127807,0.250217726748702,0.162825603513911,0.224027415620692,0.256044095110441,0.496918787481326,-6.16790569236198e-18,0.280529581924744
"DMR_up_ 1001",-0.0285800694353397,-0.0412958457507534,0.0407910062907117,0.00896544912037901,-0.0265184079457513,0.00228146304250489,0.0395639739532546,0.0122263797295482,-0.00743394900455394,0.362135047934417,0.268736343095985,0.308595421329043,0.208551214259241,0.251684879469383,0.232603410058993,0.405465029448422,-1.5419764230905e-18,0.291110192227926
"DMR_up_ 1002",-0.0192320700525192,-0.00914080487962342,0.00135462303486378,0.00228753075436655,0.00345419484077167,-0.000550470445572417,0.0159046980895104,-0.00150993311088131,0.00743223176908402,0.359527937628592,0.259866749129985,0.240593467272214,0.112124219260679,0.214329064301979,0.248813790270134,0.536831950271393,5.39691748081673e-18,0.281726739733568
"DMR_up_ 1003",-0.0446371935009226,0.00880349493639371,0.0417792033036892,-0.0563103649605224,-0.065651982870711,0.0233156615031955,0.0712271465637972,0.0652502487023175,-0.0437762136772371,0.330999823790228,0.246748518333438,0.279006466621743,0.148396755950982,0.202529854053425,0.233330430262983,0.393333671062202,-6.16790569236198e-18,0.262049360010714
"DMR_up_ 1004",-0.0178285898118867,-0.0330306692667596,0.0129097497833987,-0.00419058004696803,0.0313212079662519,0.0131531265152967,-0.000541611904759057,0.00828987173468698,-0.0100825049692609,0.317440311172706,0.25981936024864,0.285005644748035,0.174854780708274,0.224405513522165,0.270615278723252,0.455014193644542,0,0.283879297538231
"DMR_up_ 1005",0.00244518528549525,-0.0112586597225321,0.00090825839859407,-0.0176317947554322,0.0175453169544172,0.00138674699547589,0.000587850239228804,0.00888849612362591,-0.00287139951887283,0.411780545175097,0.243676821762544,0.274671983538425,0.166990114076033,0.224350361457541,0.22310582433332,0.463824922588844,-6.16790569236198e-18,0.286914367561686
"DMR_up_ 1006",-0.0239684340802553,0.0152579709401606,0.00871613850757533,0.00637400861847559,-0.0269966847043831,-0.033160582050771,0.0550137377360099,0.00358082060101891,-0.00481697556783092,0.376979082427272,0.270340343430408,0.278469425772206,0.188789753106937,0.22957161242757,0.213635129741129,0.421823824418897,6.16790569236198e-18,0.282801310189203
"DMR_up_ 1007",-0.0929500461342885,0.021978153808875,0.137245807496055,-0.0744050543995077,-0.0250736082373815,-0.153737374328269,0.180087295728368,-0.0430194277047457,0.0498742537708944,0.342658532946856,0.251771579084807,0.300882044817139,0.242699383714952,0.289903227936672,0.251098648735207,0.366635292061617,3.08395284618099e-18,0.292235529899607
