dmr,C3,C4,C7.1,C7.2,C9.1,C9.2,C10,C11.1,C11.2,P2,P4,P7,P8,P9,P10,P11,,,,,,,,,,,,,,,,,,
DMR_up_1,-0.011613839,-0.011684786,0.003352516,-0.01447811,-0.003232631,-0.007259893,0.013487938,0.010562507,0.009252457,0.562669006,0.448767096,0.402293766,0.320493046,0.399421271,0.435770729,0.63385908,,,,,,,,,,,,,,,,,,
DMR_up_10,-0.023968434,0.012261916,0.005720084,0.003377954,-0.029992739,-0.036156637,0.052017683,0.000584766,-0.00781303,0.373983028,0.275473371,0.226575558,0.185793699,0.210639075,0.267344289,0.41882777,,,,,,,,,,,,,,,,,,
DMR_up_100,-0.003005536,-0.025175616,0.003231272,-0.006831348,-0.024699198,-0.004557862,0.003380373,0.016497362,0.038155015,0.456083764,0.226409527,0.175847521,0.146819753,0.178576433,0.218018014,0.530122389,,,,,,,,,,,,,,,,,,
DMR_up_1000,-0.046120497,0.013141226,0.008575043,-0.005856015,0.00206276,-0.020471357,-0.001424817,0.011607389,-0.007634232,0.375213757,0.316430839,0.281100141,0.225015628,0.29236198,0.308921917,0.394214789,,,,,,,,,,,,,,,,,,
DMR_up_1001,-0.047531777,0.109649845,0.028724432,-0.002844666,-0.061878744,-0.100416591,-0.030264662,0.046142177,0.010888209,0.307170612,0.253720667,0.208201645,0.158072296,0.230795514,0.245647208,0.496995558,,,,,,,,,,,,,,,,,,
DMR_up_1002,-0.004263589,0.017790171,-0.000140229,-0.019217468,0.017908813,-0.011702224,-0.004836543,-0.001607133,0.001804615,0.38648148,0.350795342,0.293126896,0.183352635,0.312741049,0.250115963,0.624595602,,,,,,,,,,,,,,,,,,
DMR_up_1003,0.016787905,0.043890444,-0.019190838,-0.014112451,-0.022278409,-0.015604659,0.012478848,0.023468029,-0.008650963,0.442337133,0.298336483,0.280062278,0.161390721,0.24842021,0.310926854,0.462166705,,,,,,,,,,,,,,,,,,
DMR_up_1004,0.013936966,0.040840282,-0.024286949,-0.014276983,-0.001606786,-0.019717341,0.018483716,0.005668191,-0.00510413,0.433439071,0.277859178,0.251095292,0.188225861,0.291164977,0.305299016,0.487510779,,,,,,,,,,,,,,,,,,
DMR_up_1005,-0.027719741,-0.01038418,-0.02035806,0.00830029,-0.022020956,-0.003446292,0.034808702,0.018546331,-0.005445836,0.555517644,0.457694068,0.434612457,0.419252206,0.451263481,0.479798888,0.598725933,,,,,,,,,,,,,,,,,,
DMR_up_1006,-0.012314928,0.016873296,0.018004004,-0.031259413,-0.010078274,-0.013772622,0.046657558,-0.015001593,-0.011422955,0.43824176,0.326115576,0.248283711,0.166294414,0.223884099,0.311276328,0.576112996,,,,,,,,,,,,,,,,,,
DMR_up_1007,-0.003516583,-0.024329529,0.006070548,-0.005719706,0.014499346,-0.029615751,0.007873823,0.041785543,-0.010564275,0.472059156,0.318159971,0.247877875,0.204058324,0.293402312,0.300208694,0.480217541,,,,,,,,,,,,,,,,,,
DMR_up_1008,-0.005366393,-0.054696436,0.0044964,-0.03230564,0.052747159,0.033690097,-0.002455426,0.0193483,-0.020824451,0.451214891,0.339486706,0.234042544,0.22401438,0.273168528,0.230235816,0.443802888,,,,,,,,,,,,,,,,,,
DMR_up_1009,0.005662713,0.107046885,0.068962468,-0.113535687,-0.098127848,-0.014264966,0.03380105,0.085076264,-0.068958165,0.410734483,0.294747026,0.22390323,0.166384693,0.17756712,0.343053028,0.426816173,,,,,,,,,,,,,,,,,,
DMR_up_101,-0.022974523,0.001462276,-0.013501821,0.006390731,-0.021184468,-0.012721823,0.01475802,0.009232793,0.01556429,0.494431031,0.397199509,0.374235184,0.249509094,0.363932225,0.37890227,0.523718374,,,,,,,,,,,,,,,,,,
DMR_up_1010,0.019722029,0.025494216,0.047095651,0.013224146,-0.012284136,-0.046831401,0.007143842,0.019575011,-0.053417329,0.359362046,0.311262952,0.288118702,0.27592889,0.279928838,0.279600343,0.3529477,,,,,,,,,,,,,,,,,,
DMR_up_1011,0.028624402,-0.019306201,-0.015662082,0.057611122,-0.026242511,-0.067464292,0.042099932,0.005369634,0.023594396,0.346811949,0.311422156,0.237560513,0.229579765,0.280246545,0.287748881,0.485067085,,,,,,,,,,,,,,,,,,
DMR_up_1012,-0.02171284,-0.037719571,0.017569732,0.00059816,-0.011838526,0.010711899,0.021344863,-0.014323325,0.01365677,0.390210275,0.303619734,0.22507723,0.249100347,0.248755055,0.313511164,0.499982956,,,,,,,,,,,,,,,,,,
DMR_up_1013,-0.010746552,-0.013548836,0.016675803,-0.027547487,-0.047953318,0.068050413,0.013381774,0.014365623,-0.023423972,0.369507637,0.289535245,0.230731813,0.206578836,0.226650987,0.303205321,0.491197415,,,,,,,,,,,,,,,,,,
