Category,Tissue,total_count,dmr_count,total_percentage,dmr_percentage,fold_change
1.Tx,embryonic_facial,1133837,0,8.320104129,0,0
2.Inactive_promoter,embryonic_facial,79266,25,0.581654483,1.658925017,2.852079826
3.Bivalent_promoter,embryonic_facial,39522,854,0.290012723,56.66887857,195.4013536
4.Active_promoter,embryonic_facial,95915,64,0.703824966,4.246848042,6.033954818
6.Quies,embryonic_facial,10993959,6,80.67375088,0.398142004,0.004935211
7. Polycomb,embryonic_facial,95589,538,0.701432775,35.70006636,50.89591992
8.Hetro,embryonic_facial,647975,0,4.754845249,0,0
9.Pois.Enh,embryonic_facial,367111,10,2.693863181,0.663570007,0.246326544
10.Weak_Enh,embryonic_facial,112662,2,0.826714573,0.132714001,0.160531828
11.Strong_Eng,embryonic_facial,61842,8,0.453797045,0.530856005,1.169809305
1.Tx,forebrain,912489,4,6.6958509,0.265428003,0.039640668
2.Inactive_promoter,forebrain,71886,36,0.527499989,2.388852024,4.528629521
3.Bivalent_promoter,forebrain,28585,520,0.209756937,34.50564035,164.5029756
4.Active_promoter,forebrain,124689,368,0.914968786,24.41937624,26.68875333
6.Quies,forebrain,11149106,17,81.81222069,1.128069011,0.013788515
7. Polycomb,forebrain,75898,541,0.556940074,35.89913736,64.45780975
8.Hetro,forebrain,672439,0,4.934362259,0,0
9.Pois.Enh,forebrain,412784,11,3.029011986,0.729927007,0.24097858
10.Weak_Enh,forebrain,83302,0,0.61127068,0,0
11.Strong_Eng,forebrain,96500,10,0.7081177,0.663570007,0.937089988
1.Tx,heart,1085255,0,7.963609061,0,0
2.Inactive_promoter,heart,88574,30,0.649956654,1.99071002,3.062835047
3.Bivalent_promoter,heart,35064,679,0.257299886,45.05640345,175.112411
4.Active_promoter,heart,128892,107,0.945810431,7.100199071,7.507000177
6.Quies,heart,10476754,14,76.87849684,0.928998009,0.012083977
7. Polycomb,heart,113856,669,0.835476154,44.39283344,53.13477021
8.Hetro,heart,1038158,0,7.618010933,0,0
9.Pois.Enh,heart,383980,3,2.817648025,0.199071002,0.07065148
10.Weak_Enh,heart,160737,0,1.179489272,0,0
11.Strong_Eng,heart,116408,5,0.854202748,0.331785003,0.388414816
1.Tx,hindbrain,1014549,4,7.44476792,0.265428003,0.035652959
2.Inactive_promoter,hindbrain,93823,66,0.688473854,4.379562044,6.361261238
3.Bivalent_promoter,hindbrain,28294,597,0.207621577,39.6151294,190.8044912
4.Active_promoter,hindbrain,132210,409,0.970157939,27.14001327,27.97484016
6.Quies,hindbrain,10904742,11,80.01907588,0.729927007,0.009121912
7. Polycomb,hindbrain,60388,396,0.443127582,26.27737226,59.29978934
8.Hetro,hindbrain,800110,0,5.871212983,0,0
9.Pois.Enh,hindbrain,437379,9,3.209490274,0.597213006,0.186077213
10.Weak_Enh,hindbrain,72435,0,0.531528555,0,0
11.Strong_Eng,hindbrain,83748,15,0.614543431,0.99535501,1.619665851
1.Tx,intestine,1064434,0,7.810824412,0,0
2.Inactive_promoter,intestine,80575,35,0.591259934,2.322495023,3.928043976
3.Bivalent_promoter,intestine,29319,544,0.215143035,36.09820836,167.7870186
4.Active_promoter,intestine,101093,93,0.741821167,6.171201062,8.31898756
6.Quies,intestine,11510251,20,84.46230532,1.327140013,0.015712808
7. Polycomb,intestine,61764,787,0.45322468,52.22295952,115.2253216
8.Hetro,intestine,473333,5,3.473320987,0.331785003,0.095523853
9.Pois.Enh,intestine,224671,17,1.648637427,1.128069011,0.684243238
10.Weak_Enh,intestine,32565,0,0.238962206,0,0
11.Strong_Eng,intestine,49673,6,0.364500834,0.398142004,1.092293807
1.Tx,kidney,930457,0,6.827700214,0,0
2.Inactive_promoter,kidney,83883,76,0.615534062,5.04313205,8.193099877
3.Bivalent_promoter,kidney,18761,512,0.137668354,33.97478434,246.7871761
4.Active_promoter,kidney,106260,202,0.779736651,13.40411413,17.19056572
6.Quies,kidney,11878610,25,87.16532633,1.658925017,0.019031937
7. Polycomb,kidney,37156,655,0.272650997,43.46383543,159.4119803
8.Hetro,kidney,178447,3,1.30944538,0.199071002,0.152026961
9.Pois.Enh,kidney,266128,27,1.952849194,1.791639018,0.917448733
10.Weak_Enh,kidney,75974,0,0.557497763,0,0
11.Strong_Eng,kidney,52002,7,0.381591053,0.464499005,1.217269118
1.Tx,limb,1372597,0,10.07212674,0,0
2.Inactive_promoter,limb,97941,9,0.718691768,0.597213006,0.830972375
3.Bivalent_promoter,limb,58577,924,0.429838451,61.31386861,142.6439829
4.Active_promoter,limb,103708,130,0.761010056,8.626410086,11.3354745
6.Quies,limb,10009617,5,73.45064214,0.331785003,0.004517115
7. Polycomb,limb,202443,425,1.485528202,28.20172528,18.98430823
8.Hetro,limb,1095416,1,8.038170553,0.066357001,0.008255237
9.Pois.Enh,limb,549989,6,4.035823271,0.398142004,0.098651992
10.Weak_Enh,limb,67022,0,0.491807922,0,0
11.Strong_Eng,limb,70368,7,0.516360894,0.464499005,0.899562708
1.Tx,liver,1086116,0,7.969927085,0,0
2.Inactive_promoter,liver,80019,11,0.587180002,0.729927007,1.24310604
3.Bivalent_promoter,liver,35953,398,0.263823375,26.41008626,100.1051794
4.Active_promoter,liver,113563,32,0.833326118,2.123424021,2.548130889
6.Quies,liver,10976045,22,80.54229781,1.459854015,0.018125309
7. Polycomb,liver,92282,1029,0.677165985,68.28135368,100.8339981
8.Hetro,liver,733755,0,5.384299512,0,0
9.Pois.Enh,liver,338437,15,2.483453161,0.99535501,0.400794759
10.Weak_Enh,liver,80384,0,0.589858375,0,0
11.Strong_Eng,liver,91124,0,0.668668573,0,0
1.Tx,lung,748336,0,5.491294995,0,0
2.Inactive_promoter,lung,60301,68,0.442489175,4.512276045,10.19748346
3.Bivalent_promoter,lung,20069,363,0.147266468,24.08759124,163.5646705
4.Active_promoter,lung,99364,104,0.729133753,6.901128069,9.464831444
6.Quies,lung,11974031,43,87.86552632,2.853351029,0.032474067
7. Polycomb,lung,44920,878,0.329623286,58.26144658,176.7516104
8.Hetro,lung,225549,5,1.655080198,0.331785003,0.200464608
9.Pois.Enh,lung,304734,31,2.236140302,2.057067021,0.919918584
10.Weak_Enh,lung,75146,0,0.551421893,0,0
11.Strong_Eng,lung,75228,15,0.55202361,0.99535501,1.803102245
