Category,Tissue,total_count,dmr_count,total_percentage,dmr_percentage,fold_change
1.Tx,embryonic_facial,1133837,3,8.320104129,0.106571936,0.012808967
2.Inactive_promoter,embryonic_facial,79266,80,0.581654483,2.841918295,4.88592176
3.Bivalent_promoter,embryonic_facial,39522,1530,0.290012723,54.35168739,187.4113897
4.Active_promoter,embryonic_facial,95915,190,0.703824966,6.74955595,9.589821731
6.Quies,embryonic_facial,10993959,85,80.67375088,3.019538188,0.037429005
7. Polycomb,embryonic_facial,95589,913,0.701432775,32.43339254,46.23877538
8.Hetro,embryonic_facial,647975,5,4.754845249,0.177619893,0.037355557
9.Pois.Enh,embryonic_facial,367111,9,2.693863181,0.319715808,0.118683016
10.Weak_Enh,embryonic_facial,112662,0,0.826714573,0,0
11.Strong_Eng,embryonic_facial,61842,0,0.453797045,0,0
1.Tx,forebrain,912489,5,6.6958509,0.177619893,0.026526859
2.Inactive_promoter,forebrain,71886,39,0.527499989,1.385435169,2.626417434
3.Bivalent_promoter,forebrain,28585,945,0.209756937,33.57015986,160.0431446
4.Active_promoter,forebrain,124689,654,0.914968786,23.23268206,25.39177555
6.Quies,forebrain,11149106,101,81.81222069,3.587921847,0.043855573
7. Polycomb,forebrain,75898,1033,0.556940074,36.69626998,65.88908155
8.Hetro,forebrain,672439,12,4.934362259,0.426287744,0.08639166
9.Pois.Enh,forebrain,412784,20,3.029011986,0.710479574,0.234558192
10.Weak_Enh,forebrain,83302,0,0.61127068,0,0
11.Strong_Eng,forebrain,96500,6,0.7081177,0.213143872,0.301000628
1.Tx,heart,1085255,3,7.963609061,0.106571936,0.013382367
2.Inactive_promoter,heart,88574,59,0.649956654,2.095914742,3.22469926
3.Bivalent_promoter,heart,35064,1281,0.257299886,45.5062167,176.8606172
4.Active_promoter,heart,128892,236,0.945810431,8.38365897,8.863995043
6.Quies,heart,10476754,89,76.87849684,3.161634103,0.041125077
7. Polycomb,heart,113856,1130,0.835476154,40.14209591,48.04696787
8.Hetro,heart,1038158,10,7.618010933,0.355239787,0.046631567
9.Pois.Enh,heart,383980,0,2.817648025,0,0
10.Weak_Enh,heart,160737,0,1.179489272,0,0
11.Strong_Eng,heart,116408,7,0.854202748,0.248667851,0.29111104
1.Tx,hindbrain,1014549,5,7.44476792,0.177619893,0.023858352
2.Inactive_promoter,hindbrain,93823,79,0.688473854,2.806394316,4.076254019
3.Bivalent_promoter,hindbrain,28294,1184,0.207621577,42.06039076,202.5819827
4.Active_promoter,hindbrain,132210,665,0.970157939,23.62344583,24.35010309
6.Quies,hindbrain,10904742,91,80.01907588,3.23268206,0.040398893
7. Polycomb,hindbrain,60388,767,0.443127582,27.24689165,61.48769059
8.Hetro,hindbrain,800110,6,5.871212983,0.213143872,0.036303209
9.Pois.Enh,hindbrain,437379,13,3.209490274,0.461811723,0.143889429
10.Weak_Enh,hindbrain,72435,0,0.531528555,0,0
11.Strong_Eng,hindbrain,83748,5,0.614543431,0.177619893,0.289027405
1.Tx,intestine,1064434,4,7.810824412,0.142095915,0.018192179
2.Inactive_promoter,intestine,80575,66,0.591259934,2.344582593,3.96540076
3.Bivalent_promoter,intestine,29319,1241,0.215143035,44.08525755,204.9113866
4.Active_promoter,intestine,101093,49,0.741821167,1.740674956,2.346488659
6.Quies,intestine,11510251,95,84.46230532,3.374777975,0.039956025
7. Polycomb,intestine,61764,1343,0.45322468,47.70870337,105.2650164
8.Hetro,intestine,473333,10,3.473320987,0.355239787,0.102276694
9.Pois.Enh,intestine,224671,7,1.648637427,0.248667851,0.150832346
10.Weak_Enh,intestine,32565,0,0.238962206,0,0
11.Strong_Eng,intestine,49673,0,0.364500834,0,0
1.Tx,kidney,930457,1,6.827700214,0.035523979,0.00520292
2.Inactive_promoter,kidney,83883,178,0.615534062,6.323268206,10.27281607
3.Bivalent_promoter,kidney,18761,987,0.137668354,35.06216696,254.6857424
4.Active_promoter,kidney,106260,480,0.779736651,17.05150977,21.86829329
6.Quies,kidney,11878610,118,87.16532633,4.191829485,0.048090561
7. Polycomb,kidney,37156,1001,0.272650997,35.55950266,130.4213188
8.Hetro,kidney,178447,16,1.30944538,0.568383659,0.434064427
9.Pois.Enh,kidney,266128,27,1.952849194,0.959147425,0.491152838
10.Weak_Enh,kidney,75974,0,0.557497763,0,0
11.Strong_Eng,kidney,52002,7,0.381591053,0.248667851,0.65166059
1.Tx,limb,1372597,7,10.07212674,0.248667851,0.024688713
2.Inactive_promoter,limb,97941,34,0.718691768,1.207815275,1.680574801
3.Bivalent_promoter,limb,58577,1706,0.429838451,60.60390764,140.9922903
4.Active_promoter,limb,103708,342,0.761010056,12.14920071,15.96457315
6.Quies,limb,10009617,76,73.45064214,2.69982238,0.036756961
7. Polycomb,limb,202443,639,1.485528202,22.69982238,15.28064048
8.Hetro,limb,1095416,4,8.038170553,0.142095915,0.017677644
9.Pois.Enh,limb,549989,7,4.035823271,0.248667851,0.061615149
10.Weak_Enh,limb,67022,0,0.491807922,0,0
11.Strong_Eng,limb,70368,0,0.516360894,0,0
1.Tx,liver,1086116,3,7.969927085,0.106571936,0.013371758
2.Inactive_promoter,liver,80019,45,0.587180002,1.598579041,2.722468467
3.Bivalent_promoter,liver,35953,913,0.263823375,32.43339254,122.9360081
4.Active_promoter,liver,113563,77,0.833326118,2.735346359,3.282444053
6.Quies,liver,10976045,95,80.54229781,3.374777975,0.041900692
7. Polycomb,liver,92282,1669,0.677165985,59.28952043,87.555373
8.Hetro,liver,733755,2,5.384299512,0.071047957,0.013195395
9.Pois.Enh,liver,338437,7,2.483453161,0.248667851,0.100129873
10.Weak_Enh,liver,80384,3,0.589858375,0.106571936,0.180673769
11.Strong_Eng,liver,91124,1,0.668668573,0.035523979,0.053126437
1.Tx,lung,748336,0,5.491294995,0,0
2.Inactive_promoter,lung,60301,101,0.442489175,3.587921847,8.108496314
3.Bivalent_promoter,lung,20069,854,0.147266468,30.3374778,206.0039757
4.Active_promoter,lung,99364,228,0.729133753,8.09946714,11.10834207
6.Quies,lung,11974031,132,87.86552632,4.689165187,0.053367519
7. Polycomb,lung,44920,1451,0.329623286,51.54529307,156.3763705
8.Hetro,lung,225549,14,1.655080198,0.497335702,0.300490395
9.Pois.Enh,lung,304734,28,2.236140302,0.994671403,0.444816187
10.Weak_Enh,lung,75146,0,0.551421893,0,0
11.Strong_Eng,lung,75228,7,0.55202361,0.248667851,0.45046597
1.Tx,midbrain,1012371,8,7.42878574,0.284191829,0.038255489
2.Inactive_promoter,midbrain,85381,155,0.626526397,5.506216696,8.788483168
3.Bivalent_promoter,midbrain,19161,763,0.140603557,27.10479574,192.7746091
4.Active_promoter,midbrain,121731,641,0.893262961,22.77087034,25.49178835
6.Quies,midbrain,11586476,131,85.02164492,4.653641208,0.054734782
7. Polycomb,midbrain,43411,1068,0.318550233,37.93960924,119.100868
8.Hetro,midbrain,464862,4,3.411160727,0.142095915,0.041656177
9.Pois.Enh,midbrain,217122,36,1.593242811,1.278863233,0.802679431
10.Weak_Enh,midbrain,46799,0,0.343411401,0,0
11.Strong_Eng,midbrain,30364,9,0.222811252,0.319715808,1.434917694
1.Tx,neural_tube,1186416,8,8.705929213,0.284191829,0.03264348
2.Inactive_promoter,neural_tube,92987,60,0.68233928,2.131438721,3.123722732
3.Bivalent_promoter,neural_tube,34745,1246,0.254959062,44.26287744,173.6077827
4.Active_promoter,neural_tube,128713,680,0.944496928,24.15630551,25.5758434
6.Quies,neural_tube,10620738,76,77.93505247,2.69982238,0.034641952
7. Polycomb,neural_tube,97657,709,0.716607774,25.18650089,35.14684293
8.Hetro,neural_tube,851211,2,6.246192491,0.071047957,0.011374603
9.Pois.Enh,neural_tube,441877,22,3.242496631,0.781527531,0.241026474
10.Weak_Enh,neural_tube,95529,0,0.700992495,0,0
11.Strong_Eng,neural_tube,77805,12,0.570933654,0.426287744,0.74665023
1.Tx,stomach,764785,1,5.611997877,0.035523979,0.006330006
2.Inactive_promoter,stomach,82711,66,0.606933918,2.344582593,3.86299484
3.Bivalent_promoter,stomach,26813,1105,0.196753988,39.25399645,199.5080087
4.Active_promoter,stomach,119065,274,0.873699834,9.73357016,11.1406341
6.Quies,stomach,11599092,93,85.11422122,3.303730018,0.038815253
7. Polycomb,stomach,54440,1251,0.399481115,44.44049734,111.2455525
8.Hetro,stomach,455426,2,3.341919291,0.071047957,0.021259627
9.Pois.Enh,stomach,295512,21,2.168469199,0.746003552,0.344023126
10.Weak_Enh,stomach,151984,0,1.115259694,0,0
11.Strong_Eng,stomach,77850,2,0.571263865,0.071047957,0.124369773
