dmr,k502_2_in_w_4d,k502_4_in_w_4d,k608_6_in_w_4d,k520_in_w_23d,k528_in_w_23d,k529_in_w_23d,K589_in_w_3m,K592_in_w_3m,K600_in_w_3m,k427_in_w_1y,k430_in_w_1y,s288_in_w_1y,k608_1_in_m_4d,k502_3_in_m_4d,k502_5_in_m_4d,k518_in_m_23d,k519_in_m_23d,k526_in_m_23d,K588_in_m_3m,K590_in_m_3m,K591_in_m_3m,k428_in_m_1y,k429_in_m_1y,k431_in_m_1y,c.4d,c.23d,c.3m,c.1yr,m.4d,m.23d,m.3m,m.1yr
in_all_dmr_1,0.136633233062358,0.163435649693198,0.123535562414701,0.186122553795377,0.181111172955152,0.169145068357592,0.233422293156565,0.205990610730788,0.270102869743097,0.343242627289581,0.330667521506188,0.31952021644633,0.706805824095865,0.745783550604582,0.747043808445208,0.753068776583482,0.742469027228724,0.757718300720819,0.840976917001025,0.840837403141044,0.839978239040553,0.892527852597251,0.890911634222612,0.89104025441475,0.141201481723419,0.178792931702707,0.236505257876817,0.3311434550807,0.733211061048552,0.751085368177675,0.840597519727541,0.891493247078204
in_all_dmr_10,0.126402965143588,0.122666121411802,0.0979783530519282,0.132308342296505,0.144567938688699,0.128737892006146,0.179868404348594,0.160805298417559,0.157495819594991,0.206419410662186,0.183369670227792,0.184520010920674,0.417536425021959,0.446715235568157,0.453552856855614,0.464390557132112,0.480399271906475,0.475688668297024,0.616665187632134,0.602180207355662,0.603642154574592,0.716143729096136,0.712093157237238,0.699971791883107,0.115682479869106,0.13520472433045,0.166056507453715,0.191436363936884,0.43926817248191,0.473492832445204,0.607495849854129,0.709402892738827
in_all_dmr_100,0.020530178936529,0.0198649402578385,0.0197995130323805,0.0195416734674404,0.0212428103156078,0.0218617502004383,0.0315040298814162,0.0314842739537636,0.0265953005565066,0.0951796556186368,0.100634227072381,0.0698243049453353,0.0404125548785678,0.0684019637004395,0.068771386343458,0.0779971715190044,0.104866615159357,0.10765835398101,0.2028938854636,0.211242512789286,0.189408826044327,0.633696361415549,0.611575056549466,0.605196269058008,0.020064877408916,0.0208820779944955,0.0298612014638955,0.088546062545451,0.0591953016408218,0.0968407135531238,0.201181741432404,0.616822562341008
in_all_dmr_101,0.122946067519244,0.144731469627073,0.120505368875165,0.16204612800202,0.151757723034625,0.179302055781093,0.250081513728431,0.291892648073162,0.267813170456397,0.386700770498052,0.439834920493985,0.374758562952827,0.338418883362022,0.363789001227029,0.379044248181017,0.488245627987023,0.432485000105096,0.498036859233901,0.65743958045107,0.651497079339239,0.64191370100874,0.867244084196862,0.876038960324539,0.848769356005758,0.129394302007161,0.164368635605913,0.269929110752663,0.400431417981621,0.360417377590023,0.47292249577534,0.650283453599683,0.864017466842386
in_all_dmr_102,0.0612147279887146,0.0586910384099954,0.0540837900128359,0.0668001180209426,0.0659833645275833,0.0586011903774743,0.109224170386398,0.103012726746104,0.100073196224069,0.141288137748729,0.146579330666135,0.141304277222515,0.130614132425822,0.146086435724184,0.133007116147615,0.13477700534805,0.132663688643179,0.147117349345744,0.298168834105317,0.299946103431776,0.294726059978039,0.614871422336532,0.637640318966054,0.631054767723333,0.0579965188038486,0.0637948909753334,0.10410336445219,0.143057248545793,0.136569228099207,0.138186014445658,0.297613665838377,0.62785550300864
in_all_dmr_103,0.196221488765214,0.205879881378634,0.148310579803456,0.198961783886392,0.201273396238197,0.216186065319168,0.211716351835093,0.20620839708816,0.246381979256,0.229057067552285,0.208807703413168,0.246459042762789,0.405083223506738,0.439101128218627,0.437101939173061,0.436642788248131,0.422863916385521,0.445703374070367,0.479607749978086,0.495980544227897,0.477951458596684,0.535827009106086,0.508481885622911,0.542797949485964,0.183470649982435,0.205473748481252,0.221435576059751,0.228107937909414,0.427095430299475,0.435070026234673,0.484513250934222,0.52903561473832
in_all_dmr_104,0.110579174129844,0.110426394250575,0.0982744091060475,0.121623275762614,0.121616382354203,0.115594811827739,0.167696166778555,0.161011994970363,0.150481149885985,0.21225774052673,0.198330448740677,0.1798729200897,0.561196013524466,0.591734994079001,0.603018392995027,0.554293904012268,0.536542067612925,0.558200428939473,0.626068097495371,0.642787292571133,0.63130215134143,0.646725367102118,0.656101254832876,0.665182658442556,0.106426659162156,0.119611489981519,0.159729770544968,0.196820369785702,0.585316466866165,0.549678800188222,0.633385847135978,0.656003093459183
in_all_dmr_105,0.0657333375549601,0.0783776813312744,0.067474480974731,0.0865317656281294,0.0652911471696163,0.0806783698850317,0.123639502818534,0.104162501094683,0.131325610496904,0.156166884745156,0.172674645563984,0.159576545643069,0.244719765406781,0.293096125912892,0.248071675488516,0.308394452852828,0.304915326085999,0.314080257050787,0.488517990046673,0.505282780934661,0.50756942566145,0.698121940281018,0.686436224981233,0.713049565601645,0.0705284999536552,0.0775004275609258,0.119709204803374,0.162806025317403,0.261962522269396,0.309130011996538,0.500456732214261,0.699202576954632
in_all_dmr_106,0.244150204854587,0.223439357019661,0.161443941217197,0.179266749476162,0.17362409408166,0.259032535351642,0.313156111135213,0.338243944462558,0.234176493918342,0.309256356972855,0.285548818600399,0.304075725018139,0.384420943109164,0.382190101174609,0.386822740147064,0.423396222104324,0.456981578318867,0.452826997942761,0.498246179822018,0.628834757294452,0.540996844012283,0.648059195644168,0.621165285668685,0.667965335349641,0.209677834363815,0.203974459636488,0.295192183172038,0.299626966863798,0.384477928143612,0.444401599455317,0.556025927042918,0.645729938887498
in_all_dmr_107,0.34471230132725,0.333667687320586,0.317414715041841,0.345698299685209,0.326538861283296,0.315044283204317,0.365036472194527,0.373551730608408,0.360770156795636,0.390935083872489,0.386400748576741,0.398982052231773,0.49534252665103,0.508900071577302,0.511245503301673,0.527871992305568,0.502447236788949,0.525785196461965,0.565190193816168,0.572035610126564,0.592680439733696,0.63985827050636,0.621048957730734,0.658175410573939,0.331931567896559,0.329093814724274,0.366452786532857,0.392105961560334,0.505162700510002,0.518701475185494,0.576635414558809,0.639694212937011
