dmr,k502_2_li_w_4d,k502_4_li_w_4d,WT4DF_li_w_4d,k520_li_w_23d,k528_li_w_23d,k529_li_w_23d,k534_li_w_3m,k535_li_w_3m,k536_li_w_3m,k427_li_w_1y,k430_li_w_1y,s288_ki_w_1y,k502_1_li_m_4d,k502_3_li_m_4d,k502_5_li_m_4d,k518_li_m_23d,k519_li_m_23d,k526_li_m_23d,k541_li_m_3m,k542_li_m_3m,k543_li_m_3m,k428_li_m_1y,k429_li_m_1y,k431_li_m_1y,c.4d,c.23d,c.3m,c.1yr,m.4d,m.23d,m.3m,m.1yr
li_all_dmr_1,0.168030278007608,0.193609018927764,0.177580564063131,0.216275176361303,0.191401611368412,0.174408174608178,0.196119320408338,0.197601081934959,0.223194105567172,0.247553500416775,0.200935327924891,0.221642351917226,0.674063060843336,0.666310005513366,0.642867171954316,0.680506035248944,0.689509459307224,0.70158827992353,0.70773692893026,0.744030377904855,0.73983415377378,0.726321360868389,0.753754698870528,0.759110923834951,0.179739953666168,0.194028320779298,0.20563816930349,0.223377060086297,0.661080079437006,0.690534591493233,0.730533820202965,0.746395661191289
li_all_dmr_10,0.0933296869285941,0.0932385597154991,0.0821597836347628,0.102212167293476,0.125884103767118,0.108790097847549,0.15834992265153,0.142693747933001,0.165328678278219,0.145982249791757,0.170451902909994,0.17887577459178,0.494994706749596,0.520227533762114,0.466818450851238,0.56254994079519,0.615898382965504,0.618355683090249,0.677994459144946,0.689726927409849,0.667532812771717,0.696711343402592,0.687283823343637,0.686216703100734,0.089576010092952,0.112295456302714,0.155457449620917,0.165103309097844,0.494013563787649,0.598934668950314,0.678418066442171,0.690070623282321
li_all_dmr_100,0.209101724481216,0.198503951482504,0.183999773705386,0.215383931820307,0.24707002839012,0.221310072415745,0.273448697219419,0.273569062861867,0.260859625527736,0.27475691113999,0.230831483757061,0.229983941563276,0.580359426442085,0.564044501751854,0.584919205387362,0.58520763518088,0.628107190914581,0.625844937493862,0.666506841253232,0.689012733535588,0.678365759497239,0.659860152951066,0.674943627563116,0.693545530891095,0.197201816556369,0.227921344208724,0.269292461869674,0.245190778820109,0.5764410445271,0.613053254529774,0.677961778095353,0.676116437135092
li_all_dmr_101,0.152791793365937,0.135164895813314,0.127197984985989,0.141031055801661,0.150675913140444,0.141107946611776,0.180811848420845,0.188837389491699,0.158590770568711,0.165659510589234,0.158045527197059,0.159385168311863,0.501986799978507,0.465868824246478,0.462314224072974,0.440191616448899,0.458780594476386,0.502940203348967,0.525416657906644,0.518554555948651,0.55330346341977,0.502115188294588,0.538675994438728,0.529013816367754,0.138384891388413,0.14427163851796,0.176080002827085,0.161030068699385,0.476723282765986,0.467304138091417,0.532424892425022,0.52326833303369
li_all_dmr_102,0.250684530152091,0.264100805162229,0.231796930564438,0.253137814315083,0.253969924874931,0.252239477577436,0.276834995510381,0.26996666005096,0.299564938576156,0.248860417727675,0.264704608836943,0.255858113599422,0.59046035853749,0.616590667758448,0.499704240332389,0.680103839261359,0.76652556127538,0.658272768437112,0.758617793261541,0.789347043596903,0.764846693805261,0.770456214688089,0.736828588958886,0.752331590061443,0.248860755292919,0.253115738922483,0.282122198045832,0.25647438005468,0.568918422209442,0.701634056324617,0.770937176887902,0.753205464569473
li_all_dmr_103,0.570511631189256,0.573868591396748,0.560375988428511,0.579809982015772,0.601652240269048,0.578320355010029,0.602164547541937,0.599916870403793,0.608621006528206,0.575611151360614,0.601882494218497,0.581848125788703,0.768953077546164,0.760781812710208,0.758328508729598,0.797880393976013,0.803816597171573,0.809970183629002,0.828297748257488,0.842980238568251,0.83616419806697,0.825237351164105,0.83271586607394,0.837540503194407,0.568252070338172,0.586594192431616,0.603567474824645,0.586447257122605,0.76268779966199,0.803889058258863,0.835814061630903,0.831831240144151
li_all_dmr_104,0.144704625840982,0.140657069494132,0.133764519170326,0.170112083288859,0.178093080964006,0.15679487268316,0.218224315492771,0.213587793775692,0.219444412101559,0.167331694691797,0.183468420822865,0.181932868196665,0.412357447330835,0.411013723162774,0.370340193968567,0.464516364432816,0.499458591603618,0.526975462531747,0.531780095826955,0.581236825637763,0.564367099184478,0.529609429766246,0.529005904428595,0.547570988446487,0.13970873816848,0.168333345645342,0.217085507123341,0.177577661237109,0.397903788154059,0.49698347285606,0.559128006883065,0.535395440880443
li_all_dmr_105,0.161866493217711,0.138754390544049,0.1486912018673,0.163425915680095,0.181294493633938,0.195018093466933,0.214400515768007,0.212910605915709,0.209892803676012,0.166422044989198,0.185220281545923,0.159896479016479,0.423639240389594,0.391370503329015,0.402703852186897,0.420979852361694,0.43475143912304,0.452392267582201,0.475106748251989,0.490900588918433,0.497129156973835,0.501094221711163,0.47723792655265,0.505919663037921,0.149770695209687,0.179912834260322,0.212401308453243,0.170512935183867,0.405904531968502,0.436041186355645,0.487712164714752,0.494750603767245
li_all_dmr_106,0.158675565079734,0.15688461332217,0.184743395106012,0.151644823461544,0.145715636984597,0.14347958971835,0.184916892735268,0.207617669062544,0.19504968085753,0.218038333637128,0.205980819938276,0.170702662420496,0.530525992129873,0.472530458344733,0.499095182939438,0.472519303452787,0.507702783324526,0.490310745530177,0.549052854922786,0.56124768331944,0.572090822311163,0.554974634114509,0.550361410883738,0.580720593930269,0.166767857835972,0.146946683388164,0.195861414218447,0.198240605331967,0.500717211138015,0.490177610769163,0.560797120184463,0.562018879642839
li_all_dmr_107,0.244911815584835,0.243559656516475,0.234503119709447,0.294350447841024,0.282715799391197,0.266094427538347,0.304304103423406,0.312910676093853,0.300175423201715,0.285797297481371,0.297437175610635,0.296796199704332,0.514249928475199,0.515604938929438,0.489309973105275,0.706558978213844,0.741408767187022,0.755209240947238,0.754278364623007,0.776528976433322,0.756063226117606,0.755515327014014,0.770214355065856,0.745963015531587,0.240991530603586,0.281053558256856,0.305796734239658,0.293343557598779,0.506388280169971,0.734392328782701,0.762290189057978,0.757230899203819
li_all_dmr_108,0.240494201739068,0.321664696911233,0.237178253887622,0.167137644459438,0.175974503585119,0.173846662405404,0.219473890739689,0.208142197870687,0.220984413285729,0.198189382835534,0.189146649007742,0.170231687345664,0.550311712916032,0.529428908215456,0.52254615970132,0.336596913502578,0.366381979345933,0.353429328198339,0.398740413117507,0.395776211703543,0.402079755429907,0.399205085608712,0.407857459107402,0.392648713318626,0.266445717512641,0.17231960348332,0.216200167298702,0.185855906396313,0.534095593610936,0.352136073682283,0.398865460083652,0.399903752678247
li_all_dmr_109,0.174523285764851,0.132285943341378,0.150117661773297,0.202510251116679,0.151777384146086,0.151320604411035,0.207881453940223,0.189347970226142,0.175125284027177,0.18896579082085,0.189163560788647,0.203193599336307,0.482377587175847,0.494161933169469,0.425398882878196,0.481999992312564,0.514802079677161,0.517485437338238,0.567818786512307,0.562666963000371,0.58143690028339,0.570202334114904,0.556539148982861,0.54159882052902,0.152308963626509,0.168536079891267,0.190784902731181,0.193774316981935,0.467312801074504,0.504762503109321,0.570640883265356,0.556113434542262
li_all_dmr_11,0.305852963770023,0.299980356930983,0.278022689265985,0.284848026511656,0.292441154248478,0.284988186040669,0.322865333281055,0.34060073941763,0.318012121262787,0.30377510936934,0.301185261607724,0.295614464520825,0.655797438466125,0.618213740592533,0.640200277383421,0.622539699232804,0.671199791915815,0.661838123072915,0.702583361442439,0.69114319176861,0.712253805268273,0.726289450736227,0.718454765142797,0.720814993025911,0.294618669988997,0.287425788933601,0.327159397987157,0.30019161183263,0.638070485480693,0.651859204740511,0.701993452826441,0.721853069634978
li_all_dmr_110,0.0601402634872971,0.0601516127416992,0.0560897419681151,0.0596577763651923,0.084925425224545,0.0776836652925393,0.0928943849295917,0.0901135857855326,0.0867442466961042,0.112274172768153,0.110405105765677,0.0977745335156082,0.458274062498768,0.427515331627921,0.435312508896462,0.447976356205613,0.5104311060555,0.499367316758482,0.545846273989183,0.54496132153413,0.538130458401342,0.594718805943296,0.586908516790548,0.570496373216732,0.0587938727323705,0.0740889556274255,0.0899174058037428,0.106817937349813,0.440367301007717,0.485924926339865,0.542979351308218,0.584041231983525
li_all_dmr_111,0.0548598733466324,0.0461787262250233,0.0571153793478444,0.0712194794534747,0.058989984271106,0.0645921030026849,0.0773197793650314,0.096350771559733,0.0710603086513569,0.0907619399286361,0.0919834182140047,0.0931428405643671,0.439073486523501,0.460581236398566,0.432907258065696,0.445158124425593,0.528763113707372,0.52857832853726,0.553847007405244,0.565378383105779,0.57039831379711,0.589061454136822,0.557885527542124,0.581042695344777,0.0527179929731667,0.0649338555757552,0.0815769531920404,0.091962732902336,0.444187326995921,0.500833188890075,0.563207901436044,0.575996559007908
li_all_dmr_112,0.200871752663619,0.190357208014239,0.188117739459026,0.198501133199287,0.197992195477881,0.192134211415053,0.282512716701945,0.268427449856107,0.23526273122622,0.264433052977442,0.264579073783325,0.208594025263058,0.539210144717093,0.534572345413767,0.53010258741472,0.57362421037372,0.615594609278696,0.610903956302006,0.650424217149373,0.650821938751713,0.662024325748577,0.637574573797163,0.662108409746866,0.666666040676523,0.193115566712295,0.19620918003074,0.262067632594757,0.245868717341275,0.53462835918186,0.600040925318141,0.654423493883221,0.655449674740184
li_all_dmr_113,0.146374190770759,0.136550800536506,0.147828816926056,0.196016694363748,0.242218569937765,0.20455000687236,0.224726735362539,0.258158392865975,0.272006399749389,0.253820092102988,0.254000325633769,0.303891288757452,0.468419262199132,0.466366094987376,0.433923607243936,0.525478893099773,0.558922549638362,0.560196658100381,0.628921584960751,0.663058091573308,0.63749104503728,0.651180245643708,0.634907738187042,0.659996346213316,0.14358460274444,0.214261757057958,0.251630509325968,0.270570568831403,0.456236321476815,0.548199366946172,0.643156907190446,0.648694776681355
li_all_dmr_114,0.0382317550274116,0.0389233633725214,0.0384290377276685,0.0526487853863463,0.040533050266401,0.0402978466744879,0.0455952305556882,0.0418687288082226,0.0443345799702268,0.0384374639520424,0.0420704450686184,0.0392907168511255,0.31875574148246,0.320616608926785,0.293305956708863,0.234941544804673,0.273352760219995,0.259544951634364,0.241355831383065,0.245727859022331,0.243220150068283,0.299740575987118,0.296352546252037,0.260097560308943,0.0385280520425338,0.0444932274424117,0.0439328464447125,0.0399328752905954,0.310892769039369,0.255946418886344,0.243434613491226,0.285396894182699
li_all_dmr_115,0.104355644520379,0.0888230033658289,0.0874293411870031,0.142538703210802,0.119173160352538,0.129607142535915,0.161984453185251,0.164984677564331,0.15702974116846,0.174927939727737,0.184144647475526,0.153603341177597,0.423506564915382,0.40091744534809,0.414597207845459,0.439774791955871,0.516947508137034,0.524950357588613,0.577414604663522,0.586762446019303,0.577545817954182,0.598184479749496,0.576745880162131,0.615613674489903,0.093535996357737,0.130439668699752,0.161332957306014,0.170891976126953,0.413007072702977,0.493890885893839,0.580574289545669,0.596848011467177
li_all_dmr_116,0.253320265538294,0.264594682909515,0.224475623247144,0.391824825086422,0.422995699592395,0.412845247248329,0.446599033607687,0.481107974882143,0.450204522849602,0.441400183149326,0.437186426306177,0.418513263461475,0.462918138999078,0.491835114067454,0.440300071346485,0.735945844528322,0.789565993172314,0.812179552540712,0.867439874773631,0.874176910048957,0.878796669651585,0.862197264811416,0.863857670877538,0.912281539383866,0.247463523898318,0.409221923975715,0.459303843779811,0.432366624305659,0.465017774804339,0.779230463413783,0.873471151491391,0.87944549169094
li_all_dmr_117,0.111124163553581,0.101795801970611,0.093107124703693,0.124001552349766,0.13363218878613,0.117381819160978,0.169292389327119,0.178548900802904,0.168288990361779,0.17713774579564,0.192668813200824,0.162791520802517,0.353410452692917,0.323863106913147,0.319132339211604,0.413563261281954,0.443759554719189,0.447332381085686,0.487559082808335,0.489466549078126,0.497531930413907,0.481035317295063,0.483418264067443,0.509405900930251,0.102009030075962,0.125005186765625,0.172043426830601,0.177532693266327,0.332135299605889,0.43488506569561,0.491519187433456,0.491286494097586
li_all_dmr_118,0.0641712468751225,0.074182118446923,0.0593628651145165,0.115513041585352,0.104649091066027,0.116317954943976,0.148789985100194,0.132624447447098,0.1356908580071,0.124130414103345,0.143183464470783,0.123683896611886,0.187771681955596,0.195958052299667,0.177875697353991,0.425658708724801,0.459500009854854,0.479640956371688,0.53522371387663,0.546394484423996,0.536873748991867,0.496151205327638,0.511928952671043,0.542205547741986,0.0659054101455207,0.112160029198452,0.139035096851464,0.130332591728671,0.187201810536418,0.454933224983781,0.539497315764164,0.516761901913556
li_all_dmr_119,0.142656265182063,0.158745800963194,0.162643395146837,0.169540114578125,0.178059348654305,0.230939697339215,0.269018155522578,0.233762913408633,0.241120838313239,0.225163636464509,0.260247844218501,0.214273736566766,0.475164499104291,0.423520666071372,0.460491067929653,0.536949085264953,0.515703446501503,0.574899820049812,0.570185693512524,0.611837975605924,0.596222571368794,0.624476821875844,0.579371974331694,0.617504099078222,0.154681820430698,0.192846386857215,0.247967302414817,0.233228405749925,0.453058744368439,0.542517450605423,0.592748746829081,0.60711763176192
li_all_dmr_12,0.615275780243919,0.635869160418603,0.603753708774221,0.624752636648388,0.578124841733985,0.607149540071934,0.614923429744267,0.636447700020846,0.635776995104321,0.58752925165657,0.588468079708046,0.563166722066087,0.761124293279073,0.750451149853335,0.777773231918408,0.76801336745273,0.823050504966357,0.782325584889132,0.803551272619836,0.808606179211551,0.81400680789493,0.825659260411488,0.810197641782582,0.815256074312412,0.618299549812248,0.603342339484769,0.629049374956478,0.579721351143568,0.763116225016939,0.79112981910274,0.808721419908772,0.817037658835494
li_all_dmr_120,0.214553149896148,0.244619473010288,0.213281371379334,0.262204645613745,0.257192291271171,0.277657072159867,0.288516214075607,0.295158142751978,0.336651241222858,0.299053291241319,0.293962411716666,0.302458493216065,0.545190590514831,0.529766996221563,0.488669080959688,0.521879099656112,0.549392040850751,0.563806091557172,0.627897553871044,0.660194264656585,0.649836329941408,0.679027578069159,0.659940619528399,0.648410018998205,0.22415133142859,0.265684669681594,0.306775199350148,0.298491398724683,0.521208889232027,0.545025744021345,0.645976049489679,0.662459405531921
