Category,Tissue,total_count,dmr_count,total_percentage,dmr_percentage,fold_change
1.Tx,embryonic_facial,1133837,4,8.320104129,0.476758045,0.057301933
2.Inactive_promoter,embryonic_facial,79266,26,0.581654483,3.098927294,5.327780298
3.Bivalent_promoter,embryonic_facial,39522,392,0.290012723,46.72228844,161.1042716
4.Active_promoter,embryonic_facial,95915,42,0.703824966,5.005959476,7.112506262
6.Quies,embryonic_facial,10993959,19,80.67375088,2.264600715,0.028071097
7. Polycomb,embryonic_facial,95589,330,0.701432775,39.33253874,56.07456641
8.Hetro,embryonic_facial,647975,26,4.754845249,3.098927294,0.651740936
9.Pois.Enh,embryonic_facial,367111,0,2.693863181,0,0
10.Weak_Enh,embryonic_facial,112662,0,0.826714573,0,0
11.Strong_Eng,embryonic_facial,61842,0,0.453797045,0,0
1.Tx,forebrain,912489,9,6.6958509,1.072705602,0.160204523
2.Inactive_promoter,forebrain,71886,14,0.527499989,1.668653159,3.163323587
3.Bivalent_promoter,forebrain,28585,257,0.209756937,30.63170441,146.0342852
4.Active_promoter,forebrain,124689,191,0.914968786,22.76519666,24.88084512
6.Quies,forebrain,11149106,21,81.81222069,2.502979738,0.030594204
7. Polycomb,forebrain,75898,316,0.556940074,37.66388558,67.62645984
8.Hetro,forebrain,672439,28,4.934362259,3.337306317,0.676339949
9.Pois.Enh,forebrain,412784,3,3.029011986,0.357568534,0.11804791
10.Weak_Enh,forebrain,83302,0,0.61127068,0,0
11.Strong_Eng,forebrain,96500,0,0.7081177,0,0
1.Tx,heart,1085255,18,7.963609061,2.145411204,0.269401874
2.Inactive_promoter,heart,88574,23,0.649956654,2.74135876,4.217756279
3.Bivalent_promoter,heart,35064,336,0.257299886,40.0476758,155.6459133
4.Active_promoter,heart,128892,40,0.945810431,4.767580453,5.040735752
6.Quies,heart,10476754,20,76.87849684,2.383790226,0.031007243
7. Polycomb,heart,113856,397,0.835476154,47.318236,56.63624962
8.Hetro,heart,1038158,5,7.618010933,0.595947557,0.078228761
9.Pois.Enh,heart,383980,0,2.817648025,0,0
10.Weak_Enh,heart,160737,0,1.179489272,0,0
11.Strong_Eng,heart,116408,0,0.854202748,0,0
1.Tx,hindbrain,1014549,9,7.44476792,1.072705602,0.144088521
2.Inactive_promoter,hindbrain,93823,30,0.688473854,3.57568534,5.193639986
3.Bivalent_promoter,hindbrain,28294,309,0.207621577,36.829559,177.3879165
4.Active_promoter,hindbrain,132210,182,0.970157939,21.69249106,22.35975215
6.Quies,hindbrain,10904742,23,80.01907588,2.74135876,0.034258816
7. Polycomb,hindbrain,60388,255,0.443127582,30.39332539,68.5882049
8.Hetro,hindbrain,800110,24,5.871212983,2.860548272,0.487215892
9.Pois.Enh,hindbrain,437379,2,3.209490274,0.238379023,0.074273172
10.Weak_Enh,hindbrain,72435,0,0.531528555,0,0
11.Strong_Eng,hindbrain,83748,5,0.614543431,0.595947557,0.969740341
1.Tx,intestine,1064434,4,7.810824412,0.476758045,0.061038121
2.Inactive_promoter,intestine,80575,23,0.591259934,2.74135876,4.636469683
3.Bivalent_promoter,intestine,29319,291,0.215143035,34.68414779,161.2143654
4.Active_promoter,intestine,101093,31,0.741821167,3.694874851,4.980816151
6.Quies,intestine,11510251,24,84.46230532,2.860548272,0.03386775
7. Polycomb,intestine,61764,445,0.45322468,53.03933254,117.0265762
8.Hetro,intestine,473333,21,3.473320987,2.502979738,0.720630125
9.Pois.Enh,intestine,224671,0,1.648637427,0,0
10.Weak_Enh,intestine,32565,0,0.238962206,0,0
11.Strong_Eng,intestine,49673,0,0.364500834,0,0
1.Tx,kidney,930457,0,6.827700214,0,0
2.Inactive_promoter,kidney,83883,43,0.615534062,5.125148987,8.32634504
3.Bivalent_promoter,kidney,18761,248,0.137668354,29.55899881,214.7116453
4.Active_promoter,kidney,106260,133,0.779736651,15.85220501,20.33020378
6.Quies,kidney,11878610,37,87.16532633,4.410011919,0.050593649
7. Polycomb,kidney,37156,340,0.272650997,40.52443385,148.6311593
8.Hetro,kidney,178447,27,1.30944538,3.218116806,2.457618206
9.Pois.Enh,kidney,266128,5,1.952849194,0.595947557,0.305168243
10.Weak_Enh,kidney,75974,0,0.557497763,0,0
11.Strong_Eng,kidney,52002,6,0.381591053,0.715137068,1.874092859
1.Tx,limb,1372597,9,10.07212674,1.072705602,0.106502393
2.Inactive_promoter,limb,97941,14,0.718691768,1.668653159,2.321792501
3.Bivalent_promoter,limb,58577,460,0.429838451,54.82717521,127.5529797
4.Active_promoter,limb,103708,75,0.761010056,8.939213349,11.74651146
6.Quies,limb,10009617,12,73.45064214,1.430274136,0.019472589
7. Polycomb,limb,202443,239,1.485528202,28.48629321,19.17586833
8.Hetro,limb,1095416,26,8.038170553,3.098927294,0.385526442
9.Pois.Enh,limb,549989,4,4.035823271,0.476758045,0.118131547
10.Weak_Enh,limb,67022,0,0.491807922,0,0
11.Strong_Eng,limb,70368,0,0.516360894,0,0
1.Tx,liver,1086116,4,7.969927085,0.476758045,0.059819624
2.Inactive_promoter,liver,80019,13,0.587180002,1.549463647,2.638822237
3.Bivalent_promoter,liver,35953,206,0.263823375,24.55303933,93.06620141
4.Active_promoter,liver,113563,16,0.833326118,1.907032181,2.288458433
6.Quies,liver,10976045,24,80.54229781,2.860548272,0.0355161
7. Polycomb,liver,92282,565,0.677165985,67.3420739,99.44692344
8.Hetro,liver,733755,11,5.384299512,1.311084625,0.243501429
9.Pois.Enh,liver,338437,0,2.483453161,0,0
10.Weak_Enh,liver,80384,0,0.589858375,0,0
11.Strong_Eng,liver,91124,0,0.668668573,0,0
1.Tx,lung,748336,0,5.491294995,0,0
2.Inactive_promoter,lung,60301,35,0.442489175,4.171632896,9.427649599
3.Bivalent_promoter,lung,20069,184,0.147266468,21.93087008,148.9196451
4.Active_promoter,lung,99364,59,0.729133753,7.032181168,9.644569522
