counts.all	counts.up	per.all	per.up	pval.up	padj.up	per.change.up	per.fc.up	description
GO:0048731	3866	654	0.217374191734608	0.457023060796646	3.54678762203199e-82	1.6077588290671e-78	0.239648869062038	2.10247158206631	system development
GO:0003700	1107	295	0.0649190710767065	0.207746478873239	1.37546384905591e-62	9.4494366430141e-60	0.142827407796533	3.20008397267071	DNA-binding transcription factor activity
GO:0048856	5746	776	0.323081248242901	0.542278127183788	4.1591880645174e-60	4.71339987411434e-57	0.219196878940886	1.67845744726134	anatomical structure development
GO:0048869	4266	612	0.239865054821479	0.427672955974843	3.13945460972776e-50	1.42311477458959e-47	0.187807901153364	1.78297316502873	cellular developmental process
GO:0000976	1156	273	0.0677926342950974	0.192253521126761	1.03430853774122e-48	2.37122394253617e-46	0.124460886831663	2.83590574589405	transcription cis-regulatory region binding
GO:0003690	1305	293	0.076530612244898	0.206338028169014	1.03546897053981e-48	2.37122394253617e-46	0.129807415924116	2.69615023474178	double-stranded DNA binding
GO:0032501	7796	868	0.438346921563115	0.606568832983927	1.33180600996949e-34	3.35393146843984e-32	0.168221911420812	1.38376432717023	multicellular organismal process
GO:0006366	2356	369	0.13247118358167	0.257861635220126	1.40280656082518e-33	2.80432753830544e-31	0.125390451638456	1.94654888896008	transcription by RNA polymerase II
GO:0006357	1720	292	0.0967107112735451	0.204053109713487	5.78010085126556e-31	1.04804788635147e-28	0.107342398439942	2.10993288154324	regulation of transcription by RNA polymerase II
GO:0007267	1131	221	0.0635929153781276	0.154437456324249	2.74961941640188e-30	4.61630548687026e-28	0.0908445409461211	2.42853241443569	cell-cell signaling
GO:0048858	650	150	0.0365476525161653	0.10482180293501	8.94625616217071e-27	1.19274644656235e-24	0.0682741504188452	2.86808579261409	cell projection morphogenesis
GO:0050793	2291	337	0.128816418330053	0.23549965059399	1.05083219919139e-25	1.22139034844476e-23	0.106683232263937	1.82818039537936	regulation of developmental process
GO:0007610	678	145	0.0381220129322463	0.101327742837177	4.25316376611611e-23	3.93461047996007e-21	0.0632057299049305	2.65798511262417	behavior
GO:0048522	5327	611	0.299522069159404	0.426974143955276	1.42759438318851e-22	1.27671738516924e-20	0.127452074795872	1.42551814346623	positive regulation of cellular process
GO:0005488	13941	1292	0.817558057705841	0.909859154929577	5.11847232597891e-21	2.70491575995962e-19	0.0923010972237365	1.11289852305137	binding
GO:0010557	2201	310	0.123755974135507	0.216631726065688	9.17062743588981e-21	6.53867025570527e-19	0.0928757519301809	1.75047489690062	positive regulation of macromolecule biosynthetic process
GO:0120036	1475	229	0.0829350576328367	0.160027952480783	1.3494188571671e-19	8.86509518773692e-18	0.077092894847946	1.92955737957337	plasma membrane bounded cell projection organization
GO:0009891	2277	313	0.128029238122013	0.218728162124389	1.40370285229295e-19	9.08997861349132e-18	0.0906989240023756	1.7084235236637	positive regulation of biosynthetic process
GO:0098742	209	65	0.0117514759628901	0.0454227812718379	2.49927313627597e-17	1.39866729959741e-15	0.0336713053089478	3.86528308573989	cell-cell adhesion via plasma-membrane adhesion molecules
GO:0065008	2727	345	0.153331459094743	0.241090146750524	1.42316324410475e-16	7.67999879229385e-15	0.0877586876557813	1.57234626327762	regulation of biological quality
GO:0050808	426	94	0.0239527691875176	0.0656883298392732	5.83884756665807e-16	3.00767000223421e-14	0.0417355606517557	2.74241067181097	synapse organization
GO:0010468	4330	489	0.243463592915378	0.341719077568134	1.36134627482885e-15	6.85664740422129e-14	0.098255484652756	1.40357362460722	regulation of gene expression
GO:2000026	1276	192	0.0717458532471184	0.134171907756813	4.22487464951196e-15	2.05928567593954e-13	0.0624260545096951	1.87009982715903	regulation of multicellular organismal development
GO:0099177	556	106	0.0312622996907506	0.0740740740740741	4.02981370757e-14	1.79089662121714e-12	0.0428117743833234	2.36943778310685	regulation of trans-synaptic signaling
GO:0005244	150	49	0.00879662209711471	0.0345070422535211	1.52235602034098e-13	6.97239057316171e-12	0.0257104201564064	3.92276056338028	voltage-gated monoatomic ion channel activity
GO:0023061	475	94	0.0267078999156593	0.0656883298392732	2.31700280589655e-13	9.46213848570184e-12	0.038980429923614	2.4595093604031	signal release
GO:0048589	700	121	0.0393590104020242	0.0845562543675751	2.47040572733934e-13	9.82311330002565e-12	0.0451972439655509	2.14833283418189	developmental growth
GO:0022890	509	100	0.0298498709828759	0.0704225352112676	3.19240933563597e-13	1.29010894916583e-11	0.0405726642283917	2.3592241069205	inorganic cation transmembrane transporter activity
