"X","States","total_count","dmr_count","total_percentage","dmr_percentage","table","fold_change","state"
19,"Enh",96500,603,7.08118e-05,9.65418e-05,"forebrain",1.36335791,"Enh"
20,"EnhG",24829,366,1.82195e-05,5.85975e-05,"forebrain",3.216190319,"Enh"
21,"EnhLo",83302,33,6.11271e-05,5.28338e-06,"forebrain",0.086432763,"EnhLo"
22,"EnhPois",307742,381,0.000225821,6.0999e-05,"forebrain",0.270120837,"EnhPois"
23,"EnhPr",105042,1088,7.70799e-05,0.000174191,"forebrain",2.259882175,"Enh"
24,"Het",256906,268,0.000188518,4.29075e-05,"forebrain",0.227604283,"Het"
25,"Quies",7151954,430,0.005248109,6.88441e-05,"forebrain",0.013117879,"Quies"
26,"Quies2",1389121,341,0.001019338,5.45949e-05,"forebrain",0.053559213,"Quies"
27,"Quies3",397556,115,0.000291727,1.84118e-05,"forebrain",0.063113085,"Quies"
28,"Quies4",255516,720,0.000187498,0.000115274,"forebrain",0.614800596,"Quies"
29,"QuiesG",1954959,289,0.00143455,4.62696e-05,"forebrain",0.032253739,"QuiesG"
30,"ReprPC",75898,19526,5.5694e-05,0.003126161,"forebrain",56.13100738,"PC"
31,"ReprPCWk",415533,270,0.000304918,4.32277e-05,"forebrain",0.141767972,"Het"
32,"Tss",124689,11350,9.14969e-05,0.001817163,"forebrain",19.86038225,"Tss"
33,"TssBiv",28585,24422,2.09757e-05,0.003910022,"forebrain",186.4072991,"TssBiv"
34,"TssFlnk",71886,1984,5.275e-05,0.000317643,"forebrain",6.021673898,"TssFlnk"
35,"Tx",273011,119,0.000200336,1.90522e-05,"forebrain",0.095101354,"Tx"
36,"TxWk",614649,155,0.00045103,2.48159e-05,"forebrain",0.055020483,"Tx"
37,"Enh",116408,123,8.54203e-05,1.96926e-05,"heart",0.230537812,"Enh"
38,"EnhG",63067,291,4.62786e-05,4.65898e-05,"heart",1.006724643,"Enh"
39,"EnhLo",160737,25,0.000117949,4.00256e-06,"heart",0.033934702,"EnhLo"
40,"EnhPois",339627,90,0.000249219,1.44092e-05,"heart",0.057817616,"EnhPois"
41,"EnhPr",44353,629,3.25463e-05,0.000100704,"heart",3.09419392,"Enh"
42,"Het",518102,274,0.000380184,4.38681e-05,"heart",0.115386547,"Het"
43,"Quies",5981375,177,0.004389137,2.83381e-05,"heart",0.006456425,"Quies"
44,"Quies2",1427666,248,0.001047622,3.97054e-05,"heart",0.037900501,"Quies"
45,"Quies3",1175024,178,0.000862233,2.84982e-05,"heart",0.03305165,"Quies"
46,"Quies4",224363,446,0.000164638,7.14057e-05,"heart",0.433714063,"Quies"
47,"QuiesG",1668326,71,0.001224219,1.13673e-05,"heart",0.009285329,"QuiesG"
48,"ReprPC",113856,23921,8.35476e-05,0.003829811,"heart",45.83986104,"PC"
49,"ReprPCWk",520056,182,0.000381617,2.91386e-05,"heart",0.076355647,"Het"
50,"Tss",128892,3567,9.4581e-05,0.000571085,"heart",6.03805452,"Tss"
51,"TssBiv",35064,30244,2.573e-05,0.004842139,"heart",188.1904823,"TssBiv"
52,"TssFlnk",88574,1981,6.49957e-05,0.000317163,"heart",4.879755937,"TssFlnk"
53,"Tx",389409,7,0.000285749,1.12072e-06,"heart",0.003922039,"Tx"
54,"TxWk",632779,6,0.000464334,9.60615e-07,"heart",0.002068803,"Tx"
55,"Enh",83748,717,6.14543e-05,0.000114793,"hindbrain",1.867947194,"Enh"
56,"EnhG",41410,693,3.03867e-05,0.000110951,"hindbrain",3.651303114,"Enh"
57,"EnhLo",72435,57,5.31529e-05,9.12584e-06,"hindbrain",0.171690504,"EnhLo"
58,"EnhPois",341584,310,0.000250655,4.96318e-05,"hindbrain",0.198008602,"EnhPois"
59,"EnhPr",95795,831,7.02944e-05,0.000133045,"hindbrain",1.892683803,"Enh"
60,"Het",445416,326,0.000326847,5.21934e-05,"hindbrain",0.159687775,"Het"
61,"Quies",6836714,195,0.005016786,3.122e-05,"hindbrain",0.006223104,"Quies"
62,"Quies2",1382762,226,0.001014672,3.61832e-05,"hindbrain",0.035659963,"Quies"
63,"Quies3",392259,98,0.00028784,1.569e-05,"hindbrain",0.054509606,"Quies"
64,"Quies4",184114,421,0.000135103,6.74031e-05,"hindbrain",0.498901909,"Quies"
65,"QuiesG",2108893,208,0.001547507,3.33013e-05,"hindbrain",0.021519326,"QuiesG"
66,"ReprPC",60388,14565,4.43128e-05,0.002331892,"hindbrain",52.62349955,"PC"
67,"ReprPCWk",354694,199,0.000260275,3.18604e-05,"hindbrain",0.122410626,"Het"
68,"Tss",132210,12862,9.70158e-05,0.002059238,"hindbrain",21.22580077,"Tss"
69,"TssBiv",28294,27946,2.07622e-05,0.004474224,"hindbrain",215.4989651,"TssBiv"
70,"TssFlnk",93823,2657,6.88474e-05,0.000425392,"hindbrain",6.178771326,"TssFlnk"
71,"Tx",315085,70,0.00023121,1.12072e-05,"hindbrain",0.048471917,"Tx"
72,"TxWk",658054,79,0.000482881,1.26481e-05,"hindbrain",0.026193012,"Tx"
73,"Enh",49673,141,3.64501e-05,2.25744e-05,"intestine",0.619324993,"Enh"
74,"EnhG",54279,294,3.983e-05,4.70701e-05,"intestine",1.181776572,"Enh"
75,"EnhLo",32565,0,2.38962e-05,0,"intestine",0,"EnhLo"
76,"EnhPois",87968,98,6.4551e-05,1.569e-05,"intestine",0.243064336,"EnhPois"
77,"EnhPr",136703,1235,0.000100313,0.000197727,"intestine",1.971100625,"Enh"
78,"Het",176016,289,0.000129161,4.62696e-05,"intestine",0.358232991,"Het"
79,"Quies",8051975,352,0.005908545,5.63561e-05,"intestine",0.009538062,"Quies"
80,"Quies2",1388261,209,0.001018707,3.34614e-05,"intestine",0.03284695,"Quies"
81,"Quies3",580617,156,0.000426057,2.4976e-05,"intestine",0.058621204,"Quies"
82,"Quies4",318535,821,0.000233741,0.000131444,"intestine",0.562348941,"Quies"
