dmr,k546_2_bm_w_4d,k546_4_bm_w_4d,k602_1_bm_w_4d,k520_bm_w_23d,k528_bm_w_23d,k529_bm_w_23d,k534_bm_w_3m,k535_bm_w_3m,k536_bm_w_3m,k458_bm_w_1y,k462_bm_w_1y,k464_bm_w_1y,k546_1_bm_m_4d,k546_3_bm_m_4d,k602_2_bm_m_4d,k518_bm_m_23d,k519_bm_m_23d,k526_bm_m_23d,k541_bm_m_3m,k542_bm_m_3m,k543_bm_m_3m,k460_bm_m_1y,k461_bm_m_1y,k463_bm_m_1y,c.4d,c.23d,c.3m,c.1yr,m.4d,m.23d,m.3m,m.1yr
bm_all_dmr_1,0.197165981738708,0.236627902418483,0.23419313597237,0.244021160039353,0.233523929959656,0.241977360184562,0.296777058075399,0.310705659500771,0.308689065628628,0.344045762520079,0.316401665875635,0.322539790909939,0.611819242158042,0.626898863118254,0.611806074665983,0.753826891597371,0.779851481988642,0.756949973296712,0.79019240685498,0.798311881800297,0.789300455043267,0.809913573915477,0.837484036216662,0.807322916375396,0.222662340043187,0.239840816727857,0.305390594401599,0.327662406435218,0.616841393314093,0.763542782294242,0.792601581232848,0.818240175502512
bm_all_dmr_10,0.077514734023084,0.0834563976479905,0.0764994242139981,0.0983001571172664,0.117538585805649,0.109188968547408,0.140448244864178,0.132934570951989,0.142418747179236,0.170416003872858,0.15163039547662,0.139817729172453,0.437788994439787,0.420736585740447,0.440084857486242,0.56005498757911,0.576899675251447,0.573692702046948,0.62594675675312,0.639011092856664,0.620745838280784,0.632438467081332,0.667002778717476,0.648770622905999,0.0791568519616909,0.108342570490108,0.138600520998468,0.15395470950731,0.432870145888825,0.570215788292502,0.628567895963523,0.649403956234936
bm_all_dmr_100,0.182140627231626,0.19158514080373,0.187740154721271,0.192137010038499,0.182805781110213,0.222875776020813,0.224168835706322,0.234631532266194,0.219036270276989,0.256883069659758,0.268861050475799,0.243990408163132,0.567479605085819,0.543727811021723,0.530241934626817,0.60192464901934,0.62873209317397,0.624434059659776,0.654238378774338,0.665103203993732,0.653898255182306,0.657724394043834,0.667544481717548,0.647784154338074,0.187155307585542,0.199272855723175,0.225945546083168,0.256578176099563,0.54714978357812,0.618363600617695,0.657746612650125,0.657684343366485
bm_all_dmr_101,0.264603943150924,0.286330298039529,0.251303427898144,0.293756320058936,0.302447109830815,0.311649984096202,0.359778998609577,0.348215189447882,0.34641158880634,0.33575986407245,0.364481081826318,0.355537392062469,0.563473556376353,0.561557239340039,0.549130354717005,0.598760386850713,0.622028477496396,0.63466113392029,0.658640593397022,0.662129155939592,0.642823438671244,0.667953726024652,0.702970617149513,0.643573622231933,0.267412556362866,0.302617804661984,0.351468592287933,0.351926112653746,0.558053716811132,0.6184833327558,0.654531062669286,0.671499321802033
bm_all_dmr_102,0.0876114027804166,0.0808745345859571,0.0713728964585799,0.100458825571453,0.0949966561250531,0.100853013161651,0.126826898348363,0.115385040641285,0.103072684480941,0.122116987224536,0.109744441395425,0.0986993724372296,0.333642193797708,0.313875619310272,0.305766075023229,0.475575752924181,0.481797408379854,0.536611757560999,0.527785711163842,0.511294490529169,0.537285866312968,0.51848271971496,0.528227529597367,0.535054846807885,0.0799529446083179,0.0987694982860524,0.115094874490196,0.11018693368573,0.317761296043736,0.497994972955011,0.525455356001993,0.527255032040071
bm_all_dmr_103,0.16924850014118,0.166607423128374,0.171963335853058,0.215560815505146,0.241931127716838,0.232388558712115,0.213607707897019,0.235141649357287,0.208647808286316,0.257128142022572,0.250564745520467,0.236700462428712,0.44289090757293,0.418232812643124,0.418126285312357,0.518280942351824,0.507894688382408,0.533675109304464,0.528478394134809,0.543405181656908,0.522561103665612,0.548144075966479,0.567248597515207,0.563567196163993,0.169273086374204,0.229960167311366,0.219132388513541,0.24813111665725,0.42641666850947,0.519950246679565,0.53148155981911,0.559653289881893
bm_all_dmr_104,0.2336464874199,0.230532822284352,0.232516825878699,0.245489483008981,0.256939895583204,0.241033292773283,0.29903685714932,0.293148702725291,0.291075770949755,0.269157403249502,0.273516797721949,0.246773426889033,0.520375807260686,0.51458105222172,0.511252687150412,0.552308416327721,0.546841536115332,0.572233723212853,0.596321253690336,0.598886774327684,0.597914852119771,0.568832147064485,0.596192757275058,0.587193350179761,0.232232045194317,0.247820890455156,0.294420443608122,0.263149209286828,0.515403182210939,0.557127891885302,0.597707626712597,0.584072751506435
bm_all_dmr_105,0.184101415997536,0.175234955832287,0.164632958200061,0.212406789425543,0.207826024297443,0.196260597826312,0.244968456966714,0.262104286006891,0.256996713820799,0.260455907633267,0.264222521202339,0.236646914393595,0.486961620808115,0.476501994253933,0.467300887497149,0.537717794044482,0.561479348023151,0.561258825192689,0.585819811607625,0.589177233375337,0.571079971582472,0.592016901943432,0.616043230599749,0.589418162243748,0.174656443343295,0.205497803849766,0.254689818931468,0.253775114409734,0.476921500853066,0.553485322420107,0.582025672188478,0.599159431595643
bm_all_dmr_106,0.178728625545586,0.172971609927228,0.162386216280922,0.20364999328039,0.212122748519881,0.196236826638373,0.234320501175232,0.25152670766892,0.256997349177596,0.258990176501556,0.271206846503854,0.260328870651867,0.477442608321695,0.473916451142851,0.453455751923752,0.528943402600897,0.546501312334704,0.548238724341159,0.586564732430276,0.596937440284197,0.594171414052303,0.577095731527083,0.642420077626267,0.581096251497876,0.171362150584579,0.204003189479548,0.247614852673916,0.263508631219092,0.468271603796099,0.541227813092253,0.592557862255592,0.600204020217075
bm_all_dmr_107,0.1065052105958,0.0827540739254368,0.0909302215669819,0.135220866890875,0.128478292408621,0.141227555101412,0.155444024511837,0.135925647527036,0.159338775925777,0.165918352258833,0.188084167933187,0.136023221676513,0.460507404412418,0.453347956481503,0.464504553386019,0.559714408233829,0.559211895680833,0.593645865610489,0.625782554783417,0.632065154660276,0.619819723594373,0.635201883865201,0.659544166958632,0.62492166305111,0.0933965020294062,0.134975571466969,0.15023614932155,0.163341913956178,0.45945330475998,0.570857389841717,0.625889144346022,0.639889237958314
