sample	animal	animal.1	geno	perc.meth
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	18.6
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.1
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	22.9
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	21.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.8
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	7.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	8.6
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	15.9
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	12.9
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	0
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	14.3
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10.3
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	2.9
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	4.3
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	10
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	5.7
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	11.4
b.64.hoxc13.1_um	ctrl.1	ctrl.1	+/+	1.4
