sample	animal	animal.1	geno	perc.meth
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	26.9
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	26.9
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	26.9
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	26.9
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	12
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	26.9
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	12
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	0
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	23.1
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	15.4
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	3.8
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	26.9
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	11.5
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	19.2
a.946.hoxd13.1_um	ctrl.1	ctrl.1	+/+	7.7
